date,open,high,low,close,volume
2026-06-13 18:19:38,1800.0,1800.53,1799.94,1800.47,240
2026-06-13 18:20:38,1800.47,1800.47,1800.36,1800.36,879
2026-06-13 18:21:38,1800.36,1801.8,1800.08,1801.8,849
2026-06-13 18:22:38,1801.8,1802.54,1801.77,1802.51,265
2026-06-13 18:23:38,1802.51,1802.76,1802.49,1802.74,650
2026-06-13 18:24:38,1802.74,1802.79,1800.94,1801.04,429
2026-06-13 18:25:38,1801.04,1802.43,1800.9,1802.37,633
2026-06-13 18:26:38,1802.37,1802.38,1802.17,1802.19,253
2026-06-13 18:27:38,1802.19,1802.26,1801.62,1801.67,209
2026-06-13 18:28:38,1801.67,1801.69,1801.42,1801.42,918
2026-06-13 18:29:38,1801.42,1802.23,1801.34,1802.18,592
2026-06-13 18:30:38,1802.18,1802.22,1800.89,1801.1,797
2026-06-13 18:31:38,1801.1,1801.79,1801.07,1801.78,140
2026-06-13 18:32:38,1801.78,1801.97,1801.77,1801.95,344
2026-06-13 18:33:38,1801.95,1801.98,1801.51,1801.56,226
2026-06-13 18:34:38,1801.56,1802.68,1801.54,1802.53,988
2026-06-13 18:35:38,1802.53,1802.53,1801.84,1801.93,736
2026-06-13 18:36:38,1801.93,1802.59,1801.85,1802.5,166
2026-06-13 18:37:38,1802.5,1802.63,1801.67,1801.77,397
2026-06-13 18:38:38,1801.77,1801.77,1801.49,1801.51,392
2026-06-13 18:39:38,1801.51,1802.39,1801.43,1802.26,207
2026-06-13 18:40:38,1802.26,1803.67,1802.07,1803.5,605
2026-06-13 18:41:38,1803.5,1803.5,1803.48,1803.48,122
2026-06-13 18:42:38,1803.48,1804.94,1803.47,1804.91,672
2026-06-13 18:43:38,1804.91,1805.03,1804.9,1805.01,469
2026-06-13 18:44:38,1805.01,1805.28,1803.15,1803.24,169
2026-06-13 18:45:38,1803.24,1803.37,1802.41,1802.52,670
2026-06-13 18:46:38,1802.52,1802.6,1802.02,1802.09,267
2026-06-13 18:47:38,1802.09,1802.21,1802.07,1802.2,386
2026-06-13 18:48:38,1802.2,1803.11,1802.15,1803.09,484
2026-06-13 18:49:38,1803.09,1803.37,1803.06,1803.37,475
2026-06-13 18:50:38,1803.37,1803.64,1803.37,1803.62,403
2026-06-13 18:51:38,1803.62,1803.64,1803.48,1803.5,427
2026-06-13 18:52:38,1803.5,1803.95,1803.42,1803.88,326
2026-06-13 18:53:38,1803.88,1803.98,1802.15,1802.17,648
2026-06-13 18:54:38,1802.17,1802.17,1802.16,1802.16,350
2026-06-13 18:55:38,1802.16,1802.17,1801.99,1802.01,987
2026-06-13 18:56:38,1802.01,1802.31,1801.97,1802.3,785
2026-06-13 18:57:38,1802.3,1803.08,1802.2,1803.03,670
2026-06-13 18:58:38,1803.03,1803.11,1802.21,1802.22,851
2026-06-13 18:59:38,1802.22,1802.23,1801.25,1801.35,709
2026-06-13 19:00:38,1801.35,1801.35,1800.81,1800.86,303
2026-06-13 19:01:38,1800.86,1800.99,1799.85,1799.92,943
2026-06-13 19:02:38,1799.92,1800.38,1799.89,1800.36,202
2026-06-13 19:03:38,1800.36,1801.24,1800.28,1801.11,576
2026-06-13 19:04:38,1801.11,1801.17,1800.0,1800.02,907
2026-06-13 19:05:38,1800.02,1800.29,1800.01,1800.28,753
2026-06-13 19:06:38,1800.28,1801.13,1800.15,1801.0,801
2026-06-13 19:07:38,1801.0,1801.02,1800.3,1800.4,645
2026-06-13 19:08:38,1800.4,1800.63,1800.4,1800.63,697
2026-06-13 19:09:38,1800.63,1802.55,1800.55,1802.33,740
2026-06-13 19:10:38,1802.33,1802.79,1802.3,1802.77,771
2026-06-13 19:11:38,1802.77,1803.78,1802.67,1803.66,184
2026-06-13 19:12:38,1803.66,1804.08,1803.64,1804.05,319
2026-06-13 19:13:38,1804.05,1804.06,1803.99,1804.0,815
2026-06-13 19:14:38,1804.0,1804.36,1803.96,1804.32,543
2026-06-13 19:15:38,1804.32,1804.94,1804.32,1804.91,680
2026-06-13 19:16:38,1804.91,1804.93,1804.01,1804.15,958
2026-06-13 19:17:38,1804.15,1804.15,1803.93,1803.97,485
2026-06-13 19:18:38,1803.97,1804.76,1803.84,1804.63,867
2026-06-13 19:19:38,1804.63,1804.76,1803.84,1803.88,252
2026-06-13 19:20:38,1803.88,1804.03,1802.28,1802.54,726
2026-06-13 19:21:38,1802.54,1802.63,1801.6,1801.76,226
2026-06-13 19:22:38,1801.76,1801.93,1801.73,1801.91,766
2026-06-13 19:23:38,1801.91,1802.98,1801.85,1802.91,828
2026-06-13 19:24:38,1802.91,1804.03,1802.74,1803.87,921
2026-06-13 19:25:38,1803.87,1804.43,1803.81,1804.36,731
2026-06-13 19:26:38,1804.36,1808.41,1803.74,1807.85,404
2026-06-13 19:27:38,1807.85,1807.93,1807.17,1807.17,519
2026-06-13 19:28:38,1807.17,1807.19,1806.96,1806.97,631
2026-06-13 19:29:38,1806.97,1806.99,1806.52,1806.57,792
2026-06-13 19:30:38,1806.57,1807.61,1806.44,1807.57,176
2026-06-13 19:31:38,1807.57,1807.63,1807.56,1807.63,753
2026-06-13 19:32:38,1807.63,1807.74,1807.0,1807.06,390
2026-06-13 19:33:38,1807.06,1807.11,1806.47,1806.48,122
2026-06-13 19:34:38,1806.48,1807.42,1806.35,1807.26,726
2026-06-13 19:35:38,1807.26,1807.3,1806.14,1806.2,594
2026-06-13 19:36:38,1806.2,1806.24,1805.88,1805.91,351
2026-06-13 19:37:38,1805.91,1808.01,1805.82,1807.85,420
2026-06-13 19:38:38,1807.85,1808.94,1807.85,1808.8,204
2026-06-13 19:39:38,1808.8,1809.26,1808.79,1809.22,542
2026-06-13 19:40:38,1809.22,1810.01,1809.19,1809.94,490
2026-06-13 19:41:38,1809.94,1811.62,1809.92,1811.43,437
2026-06-13 19:42:38,1811.43,1811.59,1810.03,1810.16,870
2026-06-13 19:43:38,1810.16,1810.17,1809.17,1809.29,123
2026-06-13 19:44:38,1809.29,1809.77,1809.2,1809.72,617
2026-06-13 19:45:38,1809.72,1811.31,1809.56,1811.18,947
2026-06-13 19:46:38,1811.18,1811.26,1809.86,1810.07,914
2026-06-13 19:47:38,1810.07,1810.35,1810.06,1810.35,860
2026-06-13 19:48:38,1810.35,1810.35,1809.71,1809.8,353
2026-06-13 19:49:38,1809.8,1810.18,1809.74,1810.14,761
2026-06-13 19:50:38,1810.14,1810.24,1809.5,1809.53,259
2026-06-13 19:51:38,1809.53,1810.36,1809.47,1810.23,434
2026-06-13 19:52:38,1810.23,1810.88,1810.19,1810.8,937
2026-06-13 19:53:38,1810.8,1810.82,1810.59,1810.62,192
2026-06-13 19:54:38,1810.62,1811.81,1810.52,1811.63,843
2026-06-13 19:55:38,1811.63,1812.32,1811.63,1812.27,914
2026-06-13 19:56:38,1812.27,1812.27,1811.99,1812.0,955
2026-06-13 19:57:38,1812.0,1812.12,1811.99,1812.11,363
2026-06-13 19:58:38,1812.11,1812.7,1812.03,1812.67,777
2026-06-13 19:59:38,1812.67,1813.26,1812.61,1813.25,151
2026-06-13 20:00:38,1813.25,1813.9,1813.2,1813.84,898
2026-06-13 20:01:38,1813.84,1813.86,1813.0,1813.11,656
2026-06-13 20:02:38,1813.11,1813.11,1812.83,1812.83,730
2026-06-13 20:03:38,1812.83,1812.84,1812.34,1812.43,436
2026-06-13 20:04:38,1812.43,1812.67,1812.39,1812.65,952
2026-06-13 20:05:38,1812.65,1812.75,1811.95,1812.02,481
2026-06-13 20:06:38,1812.02,1812.05,1811.84,1811.85,543
2026-06-13 20:07:38,1811.85,1811.85,1811.85,1811.85,205
2026-06-13 20:08:38,1811.85,1811.88,1811.57,1811.6,625
2026-06-13 20:09:38,1811.6,1811.61,1811.51,1811.52,301
2026-06-13 20:10:38,1811.52,1811.98,1811.52,1811.91,972
2026-06-13 20:11:38,1811.91,1812.13,1811.88,1812.13,972
2026-06-13 20:12:38,1812.13,1812.16,1812.12,1812.16,726
2026-06-13 20:13:38,1812.16,1814.35,1811.8,1814.12,140
2026-06-13 20:14:38,1814.12,1814.16,1813.32,1813.45,901
2026-06-13 20:15:38,1813.45,1815.56,1813.37,1815.45,517
2026-06-13 20:16:38,1815.45,1815.5,1814.65,1814.74,169
2026-06-13 20:17:38,1814.74,1815.08,1814.68,1815.06,716
2026-06-13 20:18:38,1815.06,1816.84,1814.75,1816.78,840
2026-06-13 20:19:38,1816.78,1817.0,1815.4,1815.6,140
2026-06-13 20:20:38,1815.6,1817.29,1815.48,1817.28,829
2026-06-13 20:21:38,1817.28,1817.58,1815.49,1815.75,854
2026-06-13 20:22:38,1815.75,1817.11,1815.64,1816.99,346
2026-06-13 20:23:38,1816.99,1817.02,1816.99,1817.02,864
2026-06-13 20:24:38,1817.02,1817.08,1817.01,1817.08,216
2026-06-13 20:25:38,1817.08,1817.21,1817.06,1817.2,656
2026-06-13 20:26:38,1817.2,1817.72,1817.19,1817.69,704
2026-06-13 20:27:38,1817.69,1819.27,1817.45,1819.12,596
2026-06-13 20:28:38,1819.12,1819.25,1819.1,1819.24,463
2026-06-13 20:29:38,1819.24,1819.93,1819.22,1819.85,222
2026-06-13 20:30:38,1819.85,1821.11,1819.76,1821.11,630
2026-06-13 20:31:38,1821.11,1821.3,1819.98,1820.05,562
2026-06-13 20:32:38,1820.05,1820.34,1818.07,1818.21,659
2026-06-13 20:33:38,1818.21,1818.35,1816.38,1816.68,543
2026-06-13 20:34:38,1816.68,1816.68,1816.65,1816.65,316
2026-06-13 20:35:38,1816.65,1817.01,1816.63,1817.0,907
2026-06-13 20:36:38,1817.0,1817.08,1816.05,1816.17,255
2026-06-13 20:37:38,1816.17,1816.18,1815.69,1815.7,208
2026-06-13 20:38:38,1815.7,1815.77,1814.97,1815.0,427
2026-06-13 20:39:38,1815.0,1816.82,1814.71,1816.8,665
2026-06-13 20:40:38,1816.8,1816.85,1816.79,1816.85,928
2026-06-13 20:41:38,1816.85,1816.87,1816.76,1816.77,266
2026-06-13 20:42:38,1816.77,1816.78,1816.57,1816.59,536
2026-06-13 20:43:38,1816.59,1816.71,1815.02,1815.23,133
2026-06-13 20:44:38,1815.23,1816.55,1815.05,1816.49,905
2026-06-13 20:45:38,1816.49,1819.36,1816.23,1819.3,579
2026-06-13 20:46:38,1819.3,1820.39,1819.24,1820.34,439
2026-06-13 20:47:38,1820.34,1820.35,1819.67,1819.77,634
2026-06-13 20:48:38,1819.77,1819.9,1818.65,1818.8,548
2026-06-13 20:49:38,1818.8,1818.9,1818.79,1818.89,488
2026-06-13 20:50:38,1818.89,1818.91,1818.08,1818.12,426
2026-06-13 20:51:38,1818.12,1819.05,1817.95,1818.98,645
2026-06-13 20:52:38,1818.98,1820.82,1818.95,1820.74,237
2026-06-13 20:53:38,1820.74,1820.76,1820.13,1820.17,256
2026-06-13 20:54:38,1820.17,1820.24,1819.73,1819.74,572
2026-06-13 20:55:38,1819.74,1820.01,1819.72,1820.0,972
2026-06-13 20:56:38,1820.0,1820.01,1819.97,1819.98,332
2026-06-13 20:57:38,1819.98,1820.54,1819.92,1820.45,614
